"","Id","Title","Status","SubCount"
"75","UCZNk7Jjb2t8EuBdgn4Zj1cw","No Bullshit","Seed",485948
"76","UCDmCBKaKOtOrEqgsL4-3C8Q","Blaire White","Seed",474458
"77","UCTrQ7HXWRRxr7OsOtodr2_w","Channel 4 News","Detected",473717
"78","UCHd62-u_v4DvJ8TCFtpi4GA","Washington Post","Seed",473298
"79","UC5w5rFxcZ4UL_IJSOFWo9OQ","Paternity Court","Detected",464591
"80","UCe-4xQosMQGkIA8mT4sR98Q","CNN Business","Detected",452289
"81","UCvJJ_dzjViJCoLf5uKUTwoA","CNBC","Detected",444293
"82","UCzuqE7-t13O4NIDYJfakrhw","Democracy Now!","Seed",429106
"83","UClz-d22g9Lj7agZSbaRKuqA","Unreported World","Detected",425492
"84","UC-3jIAlnQmbbVMV6gR7K8aQ","The Majority Report w/ Sam Seder","Seed",402325
"85","UCCXoCcu9Rp7NPbTzIvogpZg","Fox Business","Seed",392964
"86","UCknLrEdhRCp1aegoMqRaCZg","DW English","Detected",375200
"87","UC0uVZd8N7FfIZnPu0y7o95A","ReasonTV","Seed",371225
"88","UCBDrbqudUtPUQxAK_K2JaNQ","Lisa Haven","Seed",362746
"89","UCsGg9JQ4X7u2A6gCEmtVRmw","The Liberty Hound","Seed",339940
"90","UCnQC_G5Xsjhp9fEJKuIcrSw","Ben Shapiro","Seed",339294
"91","UCrm7RGOsstgF4qAG5mFGK-w","Joe Rogan University - Fan Channel","Detected",334088
"92","UCKjU3KzdbJE1EFcHVqXC3_g","CBC News: The National","Seed",321937
"93","UCQcPBLsq9rRc5TxDqSz_Dog","Your Black World","Seed",307985
"94","UCLUrVTVTA3PnUFpYvpfMcpg","Lauren Chen","Seed",303037
"95","UCJg9wBPyKMNA5sRDnvzmkdg","FOX 10 Phoenix","Detected",291412
"96","UChLtXXpo4Ge1ReTEboVvTDg","Global News","Detected",287832
"97","UC7fWeaHhqgM4Ry-RMpM2YYw","TRT World","Detected",272053
"98","UCsD-Qms-AkXDrsU962OicLw","The New Yorker","Detected",262482
"99","UCrmm_7RDZJeQzq2-wvmjueg","TheRealNews","Seed",255130
"100","UCYWIEbibRcZav6xMLo9qWWw","The Ring of Fire","Seed",254970
"101","UCq18eeL7D9Vd8DhjMcLh9QQ","Good Morning Britain","Detected",250642
"102","UC0RJJ_Wm7jyOU9eY10LgcwA","AdamKokesh","Seed",237603
"103","UCVSNOxehfALut52NbkfRBaA","VOA News","Detected",235306
"104","UCoUxsWakJucWg46KW5RsvPw","Financial Times","Detected",235291
"105","UCG749Dj4V2fKa143f8sE60Q","Tim Pool","Seed",227958
