"","Id","Title","Status","SubCount","ChannelVideoViews","Type","LR"
"57","UCrp_UI8XtuYfpiqluWLD7Lw","CNBC Television","Seed",49789,2264171,"TVNews","L"
"58","UCC3L8QaxqEGUiBC252GHy3w","Stefan Molyneux","Seed",871299,2232464,"Commentary","R"
"59","UCJdKr0Bgd_5saZYqLCa9mng","The Rubin Report","Seed",860786,2143033,"Commentary","R"
"60","UCZNk7Jjb2t8EuBdgn4Zj1cw","No Bullshit","Seed",485948,2105274,"Commentary","R"
"61","UC-yewGHQbNFpDrGM0diZOLA","Sargon of Akkad","Seed",856980,2013017,"Commentary","R"
"62","UC7PfGhJXlJiDs4jvGGGgqsQ","StudioBrule","Seed",70881,2010275,"Commentary","R"
"63","UCDow765I-QrmVp9Kfz0HqGA","Florida Maquis","Seed",60741,1922473,"Commentary","C"
"64","UCNbIDJNNgaRrXOD7VllIMRQ","One America News Network","Seed",216700,1919828,"Commentary","R"
"65","UC3M7l8ved_rYQ45AVzS0RGA","The Jimmy Dore Show","Seed",408868,1898883,"Commentary","L"
"66","UCqnbDFdCpuN8CMEg0VuEBqA","The New York Times","Seed",1538454,1843370,"News","L"
"67","UCmrLCXSDScliR7q8AxxjvXg","Black Pigeon Speaks","Seed",418596,1841960,"Commentary","R"
"68","UCa3-BNaCeCvGSfhMuotYskg","Lionel Nation","Seed",216235,1665969,"Commentary","R"
"69","UCyQsQSKayfcZoHaCjqxxSlg","Owen Benjamin","Seed",169023,1656194,"Commentary","PL"
"70","UCBDrbqudUtPUQxAK_K2JaNQ","Lisa Haven","Seed",362746,1624228,"Commentary","R"
"71","UC4-AGCUwX7C-D4BsBook9fQ","YAFTV","Seed",66791,1506700,"Commentary","R"
"72","UCVSNOxehfALut52NbkfRBaA","VOA News","Seed",235306,1442521,"News","C"
"73","UC0p5jTq6Xx_DosDFxVXnWaQ","The Economist","Seed",604704,1429809,"News","C"
"74","UCrmm_7RDZJeQzq2-wvmjueg","TheRealNews","Seed",255130,1303134,"News","L"
"75","UCJg9wBPyKMNA5sRDnvzmkdg","FOX 10 Phoenix","Seed",291412,1291686,"TVNews","R"
"76","UCIpwPuJsrboNnf200oV8cWQ","Fleccas Talks","Seed",245823,1243182,"Commentary","L"
"77","UCdHkLMxTYwV66Sky1xXVrxQ","BBC America","Seed",804823,1195973,"TVNews","L"
"78","UCT9D87j5W7PtE7NHOR5DUOQ","Computing Forever","Seed",348989,1155291,"Commentary","R"
"79","UCw5pSFA1KVZJruigo_FVv2Q","OpenMind","Seed",159705,1122596,"Commentary","R"
"80","UCDgchsbJnrX604K-xWsd-fQ","Hunter Avallone","Seed",570595,1079567,"Commentary","R"
"81","UClMWnUHbxJKJLUgloN1mPUA","Faith J Goldy","Seed",81735,990509,"Commentary","R"
"82","UCnQC_G5Xsjhp9fEJKuIcrSw","Ben Shapiro","Seed",339294,973775,"Commentary","R"
"83","UC554eY5jNUfDq3yDOJYirOQ","Destiny","Seed",130927,971545,"Commentary","L"
"84","UCuMo0RRtnNDuMB8DV5stEag","Rebel HQ","Seed",183070,966038,"Commentary","L"
"85","UCMfKNuYXBc9bxb0fg2cGTBg","Tipping Point With Liz Wheeler on OAN","Seed",61748,944217,"Commentary","R"
"86","UCQcPBLsq9rRc5TxDqSz_Dog","Your Black World","Seed",307985,887626,"Commentary","L"
"87","UC7K0wNhrt6fQdTj9zQQwLtw","The Josh Bernstein Show","Seed",28701,883742,"Commentary","R"
"88","UCJ-qLG1bdWVrHM-Hu2W73CQ","Operation Freedom","Seed",66884,854861,"Commentary","R"
"89","UC1rnp-CySclyhxyjA4f14WQ","X22Report Spotlight","Seed",105178,834310,"Commentary","C"
"90","UCb--64Gl51jIEVE-GLDAVTg","C-SPAN","Seed",244448,829412,"TVNews","C"
"91","UCwpDBy43upJR7LZLrgnKkPA","Don't Walk, Run! Productions","Seed",74090,823893,"Commentary","R"
"92","UC7Q4rvzJDbHeBHYk5rnvZeA","The Humanist Report","Seed",190110,801828,"Commentary","L"
"93","UCu8ebUHoKbhVY0tavNdhwvw","Anthony Brian Logan","Seed",223743,753678,"Commentary","R"
"94","UCsD-Qms-AkXDrsU962OicLw","The New Yorker","Seed",262482,708904,"News","L"
"95","UC0uVZd8N7FfIZnPu0y7o95A","ReasonTV","Seed",371225,700520,"Commentary","C"
"96","UCFUC7NaTxZanB_FVOJN92eg","Red Ice TV","Seed",253008,684510,"Commentary","R"
"97","UChwwoeOZ3EJPobW83dgQfAg","WeAreChange","Seed",535606,582811,"Commentary","R"
"98","UC2h3yPmh9TfQv2z3aTDTHHA","Andywarski","Seed",257190,579846,"Commentary","R"
"99","UCsGg9JQ4X7u2A6gCEmtVRmw","The Liberty Hound","Seed",339940,577338,"Commentary","R"
"100","UCxzcBfvmeLmUNjlyM7FMgFg","Larry King","Seed",257399,571810,"Commentary","C"
"101","UCjo1uN-aM3rmBV46xj7l2KA","John Stossel","Seed",112441,568632,"Commentary","R"
"102","UCAhmDfQ1LfOYECmNNWgXJ7Q","David Icke","Seed",509375,552032,"Commentary","R"
"103","UCHkapYFq5ev4PDAxZQ_PF9Q","Skavlan","Seed",72086,551537,"Commentary","R"
"104","UCctjGdm2NlMNzIlxz02IsXA","Chris Ray Gun","Seed",553644,498495,"Commentary","R"
"105","UC5tEELgWBfKbA9fVPRzBzPQ","Coach Red Pill","Seed",109392,492924,"Commentary","R"
"106","UCLH7qUqM0PLieCVaHA7RegA","Gad Saad","Seed",123937,481439,"Commentary","PL"
"107","UCowcNKm1w2GGw5U_XQeduhg","Jean-Francois Gariépy","Seed",42418,463642,"Commentary","R"
"108","UCgRvm1yLFoaQKhmaTqXk9SA","NowThis World","Seed",1913283,424308,"Commentary","L"
"109","UCK0z0_5uL7mb9IjntOKi5XQ","The Atlantic","Seed",204957,401284,"News","L"
"110","UCUSySH2YjIwsDu2Hx6DWwTA","dollemore","Seed",82671,396358,"Commentary","L"
"111","UCXyLkBdJzh3SfFw6GvHkXKw","Atheism-is-Unstoppable-2","Seed",32949,393015,"Commentary","R"
"112","UCUMZ7gohGI9HcU9VNsr2FJQ","Bloomberg","Seed",1282267,368746,"News","L"
"113","UClJ8Z0YvEm-ClFj3fdQgQkw","The Iconoclast","Seed",155966,368107,"Commentary","R"
"114","UCY0YIply-je0EhSWLgpftVw","BEME News","Seed",296069,359572,"News","L"
"115","UCV3Nm3T-XAgVhKH9jT0ViRg","AJ+","Seed",554372,356434,"News","L"
"116","UC7qCAvNXX0Pi05tufrDN0XQ","Adam Carolla","Seed",55314,345051,"Commentary","R"
"117","UCDmCBKaKOtOrEqgsL4-3C8Q","Blaire White","Seed",474458,343492,"Commentary","R"
"118","UC-jlxuVAVEl2PXTaGno7gSA","SJWCentral","Seed",190521,323177,"Commentary","R"
"119","UCLUrVTVTA3PnUFpYvpfMcpg","Lauren Chen","Seed",303037,279657,"Commentary","R"
"120","UC7e57qWIEAZTQAaFwHpKdlw","SomeBlackGuy","Seed",362058,250440,"Commentary","PL"
"121","UCVrK_pMRp_q8IelpfUCTGLQ","Turning Point USA","Seed",54912,248679,"Commentary","R"
"122","UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show with Trevor Noah","Seed",3874522,202121,"TVCommentary","L"
"123","UCLMjHGVwfhKfPVd2LarCAjw","David Heavener","Seed",42214,187647,"Commentary","R"
"124","UCIozLvxEM3CwkhC8B9pGD9Q","Jamarl Thomas","Seed",14882,170018,"Commentary","L"
"125","UCu_u-P3cBFO7D-sAjxd_I-w","The Agenda with Steve Paikin","Seed",70473,159844,"TVNews","C"
"126","UCsJ86N5n7fcEC_Ds8dYJKzA","America First with Nicholas J Fuentes","Seed",19187,157272,"Commentary","R"
"127","UC8bTQzxgvKkXDAaWkeuUlkg","Trevor Noah","Seed",591652,148513,"TVCommentary","L"
"128","UCAldq8BAAGdsX9UyK_09-ZA","Jeff Holiday","Seed",90560,135291,"Commentary","PL"
"129","UCMLbmp5tcLxzahMLTmeM4lg","American Renaissance","Seed",87431,133525,"Commentary","R"
"130","UCesrUK_dMDBZAf7cnjQPdgQ","Brittany Pettibone","Seed",105390,127708,"Commentary","R"
"131","UCK-6FjMu9OI8i0Fo6bkW0VA","Democracy At Work","Seed",63795,122103,"Commentary","L"
"132","UCLfhh63n0fWn0gXXKQ5NWvw","Millennial Woes","Seed",52385,89768,"Commentary","R"
"133","UC0aVoboXBUx2-tVIWHc3W2Q","MILO","Seed",829195,74968,"Commentary","R"
"134","UCZfsrIV68Oegr5bJgAMLBDA","HuffPost","Seed",481430,69848,"News","L"
"135","UCf4FYTsGFFcdc68AUPIU3RA","BuzzFeed News","Seed",802053,68485,"News","L"
"136","UCKEt1xKVBLuL175dkk8rqLg","Mouthy Buddha","Seed",112664,47559,"Commentary","R"
"137","UCL-KWzX_hw7yfVR7WPQxIeA","T Я U Σ Ð I L T O M","Seed",29335,43231,"Commentary","R"
"138","UCeZ3rXtghQn72DPeeH4Tu7g","KGP TV","Seed",104188,42636,"Commentary","R"
"139","UC87YBeLMwXhgaw5tcCxsXgQ","Mike Cernovich","Seed",68989,26772,"Commentary","R"
"140","UC7Edgk9RxP7Fm7vjQ1d-cDA","feministfrequency","Seed",222569,15289,"Commentary","L"
"141","UCka_dz0F1gYuvN8LTefNcJQ","Bunty King","Seed",68578,8925,"Commentary","PL"
"142","UCqxzXCQqNQ9wSwHPtZKHrlQ","Domination Station","Seed",35283,1119,"Commentary","R"
"143","UCZeP6H2mELnRI9imY5Iga0g","Ayla Stewart Wife With A Purpose","Seed",11469,579,"Commentary","R"
"144","UC3XTzVzaHQEd30rQbuvCtTQ","LastWeekTonight","Seed",6554213,0,"TVCommentary","L"
"145","UClzCn8DxRSCuMFv_WfzkcrQ","CBS","Seed",1146381,0,"TVNews","L"
"146","UCfYbb7nga6-icsFWWgS-kWw","Mister Metokur","Seed",277955,0,"Commentary","R"
"147","UCJ7hqXLdgXlzjKpZY-K_6HA","Chelsea","Seed",239154,0,"Commentary","L"
"148","UC0RJJ_Wm7jyOU9eY10LgcwA","AdamKokesh","Seed",237603,0,"Commentary","L"
"149","UCWq53_f3zgMcWuE-XFKSpyQ","PJ Media","Seed",233313,0,"Commentary","R"
"150","UCL9PlYkRD3Q-RZca6CCnPKw","Project Veritas","Seed",230025,0,"Commentary","R"
"151","UCLJkNhB1Eg_mXx0quUju0Og","That Guy T","Seed",100589,0,"Commentary","R"
"152","UCzIjg5vIfBGcdyLWu6lhXxw","Julie Borowski","Seed",90225,0,"Commentary","R"
"153","UCAgBUlIpzlJaE0693J3s97w","Baked Alaska","Seed",29353,0,"Commentary","R"
"154","UCFpvg5yg5fMda91yiI1owSQ","Caolan Robertson","Seed",16322,0,"Commentary","R"
"155","UCmtALVZjXFzb4v3fIXDmDyw","The Reality Calls Show","Seed",11247,0,"Commentary","R"
